cliente,servico,descricao
Ucsal,instalacao ar-condicionado,Computador nao liga apos instalaçao do sistema operacional.
Tend Tudo,Manutencao Ar-Condicionado,Ar-condicionado nao resfria adequadamente.
Gbarbosa,Configuracao Impressora,Erro na conexao entre a impressora e o computador.
KalilanBussines,Instalacao Televisao,Televisao nao reconhece o sinal da antena.
McDonals,Manutencao Geladeira,Geladeira apresentava vazamento de gás refrigerante.
Cheiro De Pao,Configuracao Televisao,Configuração do televisor para canais digitais falhou.
Parque Shopping,Manutencao Redes,Rede Wi-Fi com sinal intermitente apos instalacao.
San Paris,Instalacao Micro-ondas,Micro-ondas nao aquece corretamente os alimentos.
Tend Tudo,Configuracao Computador,Configuracao inicial do computador para escritorio.
Ucsal,Manutencao Impressora,Impressora nao puxa papel corretamente ao imprimir.
